,manufacturer,model,sales_in_thousands,year_resale_value,vehicle_type,price_in_thousands,engine_size,horsepower,wheel_base,width,length,curb_weight,fuel_capacity,fuel_efficiency
0,acura,integra,16.919,16.36,car,21.5,1.8,140,101.2,67.3,172.4,2.639,13.2,28.0
1,acura,tl,39.384,19.875,car,28.4,3.2,225,108.1,70.3,192.9,3.517,17.2,25.0
2,acura,cl,14.114,18.225,car,27.391,3.2,225,106.9,70.6,192.0,3.47,17.2,26.0
3,acura,rl,8.588,29.725,car,42.0,3.5,210,114.6,71.4,196.6,3.85,18.0,22.0
4,audi,a4,20.397,22.255,car,23.99,1.8,150,102.6,68.2,178.0,2.998,16.4,27.0
5,audi,a6,18.78,23.555,car,33.95,2.8,200,108.7,76.1,192.0,3.561,18.5,22.0
6,audi,a8,1.38,39.0,car,62.0,4.2,310,113.0,74.0,198.2,3.902,23.7,21.0
7,bmw,323i,19.747,18.073,car,26.99,2.5,170,107.3,68.4,176.0,3.179,16.6,26.0
8,bmw,328i,9.231,28.675,car,33.4,2.8,193,107.3,68.5,176.0,3.197,16.6,24.0
9,bmw,528i,17.527,36.125,car,38.9,2.8,193,111.4,70.9,188.0,3.472,18.5,25.0
10,buick,century,91.561,12.475,car,21.975,3.1,175,109.0,72.7,194.6,3.368,17.5,25.0
11,buick,regal,39.35,13.74,car,25.3,3.8,240,109.0,72.7,196.2,3.543,17.5,23.0
12,buick,park avenue,27.851,20.19,car,31.965,3.8,205,113.8,74.7,206.8,3.778,18.5,24.0
13,buick,lesabre,83.257,13.36,car,27.885,3.8,205,112.2,73.5,200.0,3.591,17.5,25.0
14,cadillac,deville,63.729,22.525,car,39.895,4.6,275,115.3,74.5,207.2,3.978,18.5,22.0
15,cadillac,seville,15.943,27.1,car,44.475,4.6,275,112.2,75.0,201.0,3.378,18.5,22.0
16,cadillac,eldorado,6.536,25.725,car,39.665,4.6,275,108.0,75.5,200.6,3.843,19.0,22.0
17,cadillac,catera,11.185,18.225,car,31.01,3.0,200,107.4,70.3,194.8,3.77,18.0,22.0
18,cadillac,escalade,14.785,18.073,truck/suv,46.225,5.7,255,117.5,77.0,201.2,5.572,30.0,15.0
19,chevrolet,cavalier,145.519,9.25,car,13.26,2.2,115,104.1,67.9,180.9,2.676,14.3,27.0
20,chevrolet,malibu,135.126,11.225,car,16.535,3.1,170,107.0,69.4,190.4,3.051,15.0,25.0
21,chevrolet,lumina,24.629,10.31,car,18.89,3.1,175,107.5,72.5,200.9,3.33,16.6,25.0
22,chevrolet,monte carlo,42.593,11.525,car,19.39,3.4,180,110.5,72.7,197.9,3.34,17.0,27.0
23,chevrolet,camaro,26.402,13.025,car,24.34,3.8,200,101.1,74.1,193.2,3.5,16.8,25.0
24,chevrolet,corvette,17.947,36.225,car,45.705,5.7,345,104.5,73.6,179.7,3.21,19.1,22.0
25,chevrolet,prizm,32.299,9.125,car,13.96,1.8,120,97.1,66.7,174.3,2.398,13.2,33.0
26,chevrolet,metro,21.855,5.16,car,9.235,1.0,55,93.1,62.6,149.4,1.895,10.3,45.0
27,chevrolet,impala,107.995,18.073,car,18.89,3.4,180,110.5,73.0,200.0,3.389,17.0,27.0
28,chrysler,sebring coupe,7.854,12.36,car,19.84,2.5,163,103.7,69.7,190.9,2.967,15.9,24.0
29,chrysler,sebring conv.,32.775,14.18,car,24.495,2.5,168,106.0,69.2,193.0,3.332,16.0,24.0
30,chrysler,concorde,31.148,13.725,car,22.245,2.7,200,113.0,74.4,209.1,3.452,17.0,26.0
31,chrysler,cirrus,32.306,12.64,car,16.48,2.0,132,108.0,71.0,186.0,2.911,16.0,27.0
32,chrysler,lhs,13.462,17.325,car,28.34,3.5,253,113.0,74.4,207.7,3.564,17.0,23.0
33,chrysler,town & country,53.48,19.54,truck/suv,27.391,3.06,185,107.5,71.2,187.3,3.378,18.0,23.8
34,chrysler,300m,30.696,18.073,car,29.185,3.5,253,113.0,74.4,197.8,3.567,17.0,23.0
35,dodge,neon,76.034,7.75,car,12.64,2.0,132,105.0,74.4,174.4,2.567,12.5,29.0
36,dodge,avenger,4.734,12.545,car,19.045,2.5,163,103.7,69.1,190.2,2.879,15.9,24.0
37,dodge,stratus,71.186,10.185,car,20.23,2.5,168,108.0,71.0,186.0,3.058,16.0,24.0
38,dodge,intrepid,88.028,12.275,car,22.505,2.7,202,113.0,74.7,203.7,3.489,17.0,23.8
39,dodge,viper,0.916,58.47,car,69.725,8.0,450,96.2,75.7,176.7,3.375,19.0,16.0
40,dodge,ram pickup,227.061,15.06,truck/suv,19.46,5.2,230,138.7,79.3,224.2,4.47,26.0,17.0
41,dodge,ram wagon,16.767,15.51,truck/suv,21.315,3.9,175,109.6,78.8,192.6,4.245,32.0,15.0
42,dodge,ram van,31.038,13.425,truck/suv,18.575,3.9,175,127.2,78.8,208.5,4.298,32.0,16.0
43,dodge,dakota,111.313,11.26,truck/suv,16.98,2.5,120,131.0,71.5,215.0,3.557,22.0,19.0
44,dodge,durango,101.323,18.073,truck/suv,26.31,5.2,230,115.7,71.7,193.5,4.394,25.0,17.0
45,dodge,caravan,181.749,12.025,truck/suv,19.565,2.4,150,113.3,76.8,186.3,3.533,20.0,24.0
46,ford,escort,70.227,7.425,car,12.07,2.0,110,98.4,67.0,174.7,2.468,12.7,30.0
47,ford,mustang,113.369,12.76,car,21.56,3.8,190,101.3,73.1,183.2,3.203,15.7,24.0
48,ford,contour,35.068,8.835,car,17.035,2.5,170,106.5,69.1,184.6,2.769,15.0,25.0
49,ford,taurus,245.815,10.055,car,17.885,3.0,155,108.5,73.0,197.6,3.368,16.0,24.0
50,ford,focus,175.67,18.073,car,12.315,2.0,107,103.0,66.9,174.8,2.564,13.2,30.0
51,ford,crown victoria,63.403,14.21,car,22.195,4.6,200,114.7,78.2,212.0,3.908,19.0,21.0
52,ford,explorer,276.747,16.64,truck/suv,31.93,4.0,210,111.6,70.2,190.7,3.876,21.0,19.0
53,ford,windstar,155.787,13.175,truck/suv,21.41,3.0,150,120.7,76.6,200.9,3.761,26.0,21.0
54,ford,expedition,125.338,23.575,truck/suv,36.135,4.6,240,119.0,78.7,204.6,4.808,26.0,16.0
55,ford,ranger,220.65,7.85,truck/suv,12.05,2.5,119,117.5,69.4,200.7,3.086,20.0,23.0
56,ford,f-series,540.561,15.075,truck/suv,26.935,4.6,220,138.5,79.1,224.5,4.241,25.1,18.0
57,honda,civic,199.685,9.85,car,12.885,1.6,106,103.2,67.1,175.1,2.339,11.9,32.0
58,honda,accord,230.902,13.21,car,15.35,2.3,135,106.9,70.3,188.8,2.932,17.1,27.0
59,honda,cr-v,73.203,17.71,truck/suv,20.55,2.0,146,103.2,68.9,177.6,3.219,15.3,24.0
60,honda,passport,12.855,17.525,truck/suv,26.6,3.2,205,106.4,70.4,178.2,3.857,21.1,19.0
61,honda,odyssey,76.029,19.49,truck/suv,26.0,3.5,210,118.1,75.6,201.2,4.288,20.0,23.0
62,hyundai,accent,41.184,5.86,car,9.699,1.5,92,96.1,65.7,166.7,2.24,11.9,31.0
63,hyundai,elantra,66.692,7.825,car,11.799,2.0,140,100.4,66.9,174.0,2.626,14.5,27.0
